model,gpus,n,m,mean_time_ms,gflops
cunumeric,1,45000,45000,10133.385550,17984.904857
cuda,1,45000,45000,10211.528015,17847.277580
cunumeric,2,56696,56696,10105.589100,36067.977437
cuda,2,56696,56696,10445.471191,34894.372209
cunumeric,4,71433,71433,9977.991800,73060.137011
cuda,4,71433,71433,10616.634369,68665.211844
cunumeric,8,90000,90000,10063.021350,144886.098249
cuda,8,90000,90000,11488.982391,126903.484602
