model,gpus,n,m,mean_time_ms,gflops
cunumeric,1,20000,40000,1743.595950,18352.646437
cuda,1,20000,40000,1745.549583,18332.106005
cunumeric,2,25198,50396,1731.756300,36954.482170
cuda,2,25198,50396,1771.978951,36115.641945
cunumeric,4,31748,63496,1745.912650,73313.368563
cuda,4,31748,63496,1845.702934,69349.587744
cunumeric,8,40000,80000,1725.972300,148321.267960
cuda,8,40000,80000,1761.801910,145304.871387
