model,gpus,n,m,mean_time_ms,gflops
cunumeric,1,2000,2000,19.749203,405.079638
diffeq,1,2000,2000,20.102346,397.963493
cunumeric,2,2828,2828,24.889578,908.700322
diffeq,2,2828,2828,21.075598,1073.144772
cunumeric,4,4000,4000,43.027754,1487.412055
diffeq,4,4000,4000,21.244234,3012.582131
cunumeric,8,5657,5657,115.707950,1564.571219
diffeq,8,5657,5657,24.324123,7442.542761
