model,gpus,n,m,mean_time_ms,gflops
cuNumeric.jl (fused),1,1048576,1048576,0.152009,6898.117875
cuNumeric.jl (unfused),1,1048576,1048576,2.374004,441.690915
CUDA.jl (fused),1,8388608,8388608,0.572236,14659.356407
CUDA.jl (unfused),1,8388608,8388608,4.711458,1780.469577
