n,unfused,fused
1, 41.69491525423729, 58.16949152542373
2, 42.20338983050848, 58.16949152542373
4, 41.898305084745765, 57.55932203389831
8, 40.88135593220339, 54.50847457627118
16, 40.271186440677965, 52.88135593220339
32, 39.559322033898304, 51.35593220338983
64, 37.6271186440678, 48.30508474576271
128, 36.20338983050848, 47.186440677966104
